restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords,first_review_date,last_review_date
g1080548-d4700984,,,France,Hauts-de-France,Pas-de-Calais,Etaples,"1 rue Adolphe Bigot, 62630 Etaples France",50.51894,1.629973,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",,#1 of 21 places to eat in Etaples,"Mid-range, Mexican, Vegetarian Friendly, Vegan Options",€€-€€€,,,Mexican,,,Y,Y,N,,4.0,23.0,,4.5,205.0,English,14.0,9.0,,,0.0,0.0,4.5,4.5,4.5,4.0,,2010-05-08,2014-11-22
g1080549-d10759479,Grill antalya,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Halluin""]",,Hauts-de-France,Nord,Halluin,"1 B rue de la Lys, 59250 Halluin France",50.786457,3.127211,Unclaimed,,#14 of 16 Restaurants in Halluin,#14 of 17 places to eat in Halluin,,€,,,Turkish,,,N,N,N,,,,,,3.0,All languages,3.0,2.0,1.0,0.0,0.0,,,,,,,,2016-03-15
g1080549-d21380167,,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Halluin""]",,Hauts-de-France,Nord,Halluin,,50.78638,3.12604,Unclaimed,,,,,,,,,,Reservations,N,N,N,,,,,,,,,,,,,,,,,,,2023-04-17,2023-12-31
g1080551-d10353723,,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Hazebrouck""]",France,Hauts-de-France,Nord,Hazebrouck,"57 boulevard de l Abbe Lemire, 59190, Hazebrouck France",50.72653,2.53821,Unclaimed,,#24 of 31 Restaurants in Hazebrouck,#25 of 36 places to eat in Hazebrouck,"Mid-range, Italian, Pizza, Fast food",€€-€€€,,Dinner,"Italian, Pizza, Fast food",,Reservations,N,N,N,,,,,3.0,14.0,All languages,14.0,3.0,4.0,2.0,2.0,3.0,,,,,,2021-08-25,2023-12-31
g1080551-d1334308,,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Hazebrouck""]",France,Hauts-de-France,Nord,Hazebrouck,"44 rue Nationale, 59190, Hazebrouck France",50.7247,,Unclaimed,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,2010-09-23,2011-12-10
g1080551-d17328003,Boulangerie Marie Blachere,,France,,Nord,Hazebrouck,"294 rue Notre Dame, 59190, Hazebrouck France",50.73752,2.54636,Claimed,,#19 of 31 Restaurants in Hazebrouck,,Mid-range,€€-€€€,,,,,,N,N,,,,,,,,,,,,,,,,,,,,2014-05-24,
,Restaurant L'Ambigu,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Hazebrouck""]",France,Hauts-de-France,Nord,,"60 rue de l Eglise, 59190, Hazebrouck France",50.719166,,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#3 of 31 Restaurants in Hazebrouck,#3 of 36 places to eat in Hazebrouck,"Fine Dining, French, European, Vegetarian Friendly",€€€€,,,"French, European",Vegetarian Friendly,,Y,N,,"{""Mon"": [""11:00-14:30""], ""Tue"": [""11:00-14:30"", ""18:30-22:00""], ""Wed"": [""11:00-14:30"", ""18:30-22:00""], ""Thu"": [""11:00-14:30"", ""18:30-22:00""], ""Fri"": [""11:00-14:30"", ""18:30-22:30""], ""Sat"": [""11:00-14:30"", ""18:30-22:30""], ""Sun"": [""11:00-14:30""]}",7.0,43.0,12.0,4.5,308.0,English,5.0,4.0,0.0,0.0,0.0,1.0,4.5,4.5,4.5,4.0,,2017-08-01,
g1080551-d8297707,McDonald's,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Hazebrouck""]",France,,Nord,Hazebrouck,"Rue Notre Dame Centre Commercial La Creule, 59190, Hazebrouck France",50.73924,2.54576,,,#1 of 1 Quick Bite in Hazebrouck,#30 of 36 places to eat in Hazebrouck,"Cheap Eats, Quick Bites, Fast food",€,,"Breakfast, Lunch, Dinner",Fast food,,,,N,N,"{""Mon"": [""09:00-18:00""], ""Tue"": [""09:00-18:00""], ""Wed"": [""09:00-18:00""], ""Thu"": [""09:00-18:00""], ""Fri"": [""09:00-18:00""], ""Sat"": [""09:00-18:00""], ""Sun"": [""09:00-18:00""]}",7.0,63.0,7.0,3.0,17.0,English,2.0,0.0,0.0,2.0,0.0,,3.0,,2.5,,,2016-08-26,2020-08-13
g1080555-d13758381,KFC,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Lezennes""]",France,Hauts-de-France,Nord,,"Rue de Chanzy, 59260 Lezennes France",50.61275,,Unclaimed,,#11 of 11 Restaurants in Lezennes,#12 of 15 places to eat in Lezennes,Cheap Eats,€,,,,,,N,N,N,,,,,2.0,12.0,,12.0,1.0,,1.0,1.0,8.0,,,,,,2013-12-22,2017-12-13
g1080555-d4067698,Le Patacrepe Lille Lezennes,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Lezennes""]",France,,Nord,Lezennes,,,3.124903,Claimed,"Certificate of Excellence 2019, Certificate of Excellence 2018",#1 of 11 Restaurants in Lezennes,#1 of 15 places to eat in Lezennes,"Mid-range, French, Vegetarian Friendly",€€-€€€,€10-€20,,French,Vegetarian Friendly,,Y,N,N,"{""Mon"": [""11:30-23:00""], ""Tue"": [""11:30-23:00""], ""Wed"": [""11:30-23:00""], ""Thu"": [""11:30-23:00""], ""Fri"": [""11:30-00:00""], ""Sat"": [""11:30-00:00""], ""Sun"": [""11:30-23:00""]}",,82.5,7.0,4.0,735.0,All languages,735.0,329.0,210.0,79.0,63.0,54.0,4.0,4.0,3.5,3.5,,2018-04-07,2021-06-23
